name,email,branch,phoneNo,dob,fatherName,motherName,rollNo,slotNumber
Michael Pikula,michael.pikula@mail.com,ME,9851474755,2006-01-01,Jeffrey Pikula,Helen Pikula,2023ECE1000,1
Virginia Meyer,virginia.meyer@mail.com,CSE,9781633844,2005-09-15,Victor Meyer,Erma Meyer,2020ME1001,2
Michael Langley,michael.langley@yahoo.com,CE,9784692406,2001-03-01,John Langley,Laura Langley,2023ME1002,1
Keith Romo,keith.romo@yahoo.com,AE,9819606240,2001-09-12,Edward Romo,Latonia Romo,2021ECE1003,2
Cindy Thomas,cindy.thomas@student.edu,IT,9805724318,2007-11-21,David Thomas,Tanya Thomas,2023ECE1004,2
Nancy Purnell,nancy.purnell@student.edu,CSE,9803887982,2001-03-08,Noel Purnell,Agustina Purnell,2020EE1005,2
Gary Cary,gary.cary@mail.com,IT,9815929387,2008-07-27,Daniel Cary,Marianne Cary,2024CE1006,2
Joyce Smith,joyce.smith@student.edu,AE,9807817573,2008-01-11,Timothy Smith,Paris Smith,2024CE1007,2
Tony Butler,tony.butler@outlook.com,ECE,9789336188,2008-01-19,Alvin Butler,Marcy Butler,2020CE1008,1
Bart Bair,bart.bair@yahoo.com,CH,9875931449,2002-05-07,Felton Bair,Mabel Bair,2023CSE1009,2
Laurel Lester,laurel.lester@student.edu,EE,9805965194,2002-08-14,Terence Lester,Kim Lester,2022EE1010,1
Brandi Watson,brandi.watson@mail.com,ME,9863538353,2003-05-12,John Watson,Clara Watson,2022CSE1011,2
Kevin Davis,kevin.davis@outlook.com,ME,9836967947,2003-03-11,Donald Davis,Leona Davis,2020EE1012,1
William Stevenson,william.stevenson@student.edu,ECE,9822610602,2001-02-28,Max Stevenson,Judy Stevenson,2020CSE1013,2
Claudia Martineau,claudia.martineau@outlook.com,EE,9871575759,2005-09-10,Richard Martineau,Suzanne Martineau,2020CSE1014,2
Todd Chesser,todd.chesser@student.edu,EE,9852478282,2006-02-16,Michael Chesser,Pamela Chesser,2024EE1015,1
Erik Wiedemann,erik.wiedemann@outlook.com,AE,9872634349,2001-01-29,Francisco Wiedemann,Dawn Wiedemann,2024EE1016,1
Daniel Prior,daniel.prior@student.edu,EE,9793504224,2003-11-08,Paul Prior,Kristen Prior,2021EE1017,1
Thomas Romero,thomas.romero@gmail.com,CE,9829932811,2000-12-27,Andres Romero,Olive Romero,2020ME1018,2
Stacey Tuck,stacey.tuck@student.edu,EE,9827172943,2002-06-06,Lee Tuck,Sandra Tuck,2022ME1019,1
Melissa Heilman,melissa.heilman@outlook.com,CE,9839704192,2007-03-25,John Heilman,Bessie Heilman,2020CE1020,1
Roberta Ingram,roberta.ingram@yahoo.com,ECE,9838467004,2008-04-25,Andrew Ingram,Laura Ingram,2022ECE1021,2
James Potter,james.potter@yahoo.com,CH,9803369644,2001-12-08,Aaron Potter,Myra Potter,2024ME1022,1
Stephanie Childers,stephanie.childers@mail.com,CE,9792141045,2008-10-21,Bobby Childers,Brenda Childers,2020CE1023,1
Wayne Mcmahon,wayne.mcmahon@yahoo.com,EE,9860997796,2001-10-20,Kenneth Mcmahon,Pearline Mcmahon,2023CSE1024,1
James Dejesus,james.dejesus@yahoo.com,EE,9854975204,2008-01-05,Roscoe Dejesus,Cindy Dejesus,2022CE1025,2
