name,email,branch,phoneNo,dob,fatherName,motherName,rollNo,slotNumber
Christie Pedigo,christie.pedigo@student.edu,IT,9829438886,2007-05-07,Charles Pedigo,Sylvia Pedigo,2023CE1000,2
Warren Norris,warren.norris@gmail.com,CE,9840334595,2003-09-28,James Norris,Pauline Norris,2021EE1001,1
Sandra Kleckner,sandra.kleckner@mail.com,ECE,9813309560,2006-05-11,Seth Kleckner,Odessa Kleckner,2021EE1002,2
Manuel Frost,manuel.frost@yahoo.com,ME,9873137756,2002-12-23,Steven Frost,Denise Frost,2024EE1003,2
Chandra Medford,chandra.medford@outlook.com,ME,9845214277,2004-10-06,Christopher Medford,Lillian Medford,2020EE1004,1
Shawanda Davis,shawanda.davis@yahoo.com,CE,9801097440,2007-02-09,Eugene Davis,Donna Davis,2022EE1005,1
David Zellinger,david.zellinger@yahoo.com,AE,9871489729,2000-06-02,Walter Zellinger,Carolyn Zellinger,2022CSE1006,2
Kelly Cabral,kelly.cabral@outlook.com,ECE,9820349790,2004-09-18,Richard Cabral,Kimberly Cabral,2024CE1007,1
Christopher Sanderson,christopher.sanderson@student.edu,CE,9819766470,2007-10-10,Terrence Sanderson,Anita Sanderson,2020EE1008,1
Joseph Hamilton,joseph.hamilton@outlook.com,IT,9813610772,2008-04-18,Mark Hamilton,Jessica Hamilton,2020ME1009,2
Diane Lamb,diane.lamb@outlook.com,ECE,9787659958,2008-01-27,Stuart Lamb,Ethel Lamb,2021CSE1010,1
William Harris,william.harris@student.edu,EE,9793832727,2007-01-15,John Harris,Jill Harris,2024CSE1011,2
John Gardner,john.gardner@gmail.com,AE,9804646008,2008-07-28,Greg Gardner,Winona Gardner,2024CSE1012,1
Dave Vincent,dave.vincent@mail.com,CE,9782336234,2008-09-19,Nathaniel Vincent,Joyce Vincent,2020CSE1013,2
Elsie Baptiste,elsie.baptiste@student.edu,CE,9796586089,2004-03-15,Joseph Baptiste,Bonita Baptiste,2020EE1014,1
Janice Brooks,janice.brooks@outlook.com,IT,9846572151,2004-12-04,Stewart Brooks,Colleen Brooks,2022EE1015,1
Robert Farrington,robert.farrington@gmail.com,EE,9827940098,2004-08-31,Adolfo Farrington,Betty Farrington,2022CE1016,2
Bonnie Yepes,bonnie.yepes@student.edu,EE,9833867317,2007-11-10,Teddy Yepes,Catherine Yepes,2020ME1017,2
Janice Lawson,janice.lawson@student.edu,CE,9870529388,2008-02-29,Shane Lawson,Mary Lawson,2020EE1018,1
Staci Williams,staci.williams@yahoo.com,IT,9873939850,2007-11-14,Russell Williams,Rita Williams,2020ME1019,2
Christie Newman,christie.newman@yahoo.com,AE,9871978286,2006-12-05,Scott Newman,Alice Newman,2020CE1020,2
Mark Gardiner,mark.gardiner@mail.com,ME,9790976444,2004-02-29,Dennis Gardiner,Kate Gardiner,2020CE1021,2
